"","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength"
"3249","AurimasJ",NA,1,NA,2019-05-06,2019-05-09,TRUE,"Working fine!","Working fine!","That's great to hear, thank you for your feedback!",13
"3250","Eduard",NA,1,NA,2019-05-06,2019-05-09,TRUE,"Very quickly sent a debit card","Very quickly sent a debit card .  Thank you very much","It is a pleasure having you on board, Eduard!",53
"3251","Emmanue Eke",NA,1,NA,2019-05-06,2019-05-09,TRUE,"it is good  to me","it is good  to me","Thank you for your feedback!",17
"3252","customer Stefan",NA,1,NA,2019-05-06,2019-05-09,TRUE,"They give me the corect information","They give me the corect information, profesional. I don’t give 5 stars because I can’t do what I was Want to do. (Send a cheque in my acount)","Thanks for your feedback, Stefan - we're always looking forward to improve our services, so stay tuned!",141
"3253","Zoltan Csonka",NA,2,NA,2019-05-06,NA,TRUE,"Can be better","Honestly , i have to catch the right person, adviser.Many times they did not understand what i expalined . And ladies who i spoke to make the things complicated..Now dissapiered money from my account hope i will get it back. Has to wait.",NA,237
"3254","samirua",NA,1,NA,2019-05-06,2019-07-09,TRUE,"Using monese about month","Using monese about month, no problem so far. Disappointing limited options and expensive cash withdrawal","Hi Samirua, Thank you for your feedback!We are glad to share an update that could be interesting for you: we have recently launched our new pricing plans. Feel free to have a look here: https://monese.com/pricing.Kind regards,Your Monese team",104
"3255","customer",NA,1,NA,2019-05-06,NA,TRUE,"For the start is good,i just couldnt…","For the start is good,i just couldnt put money on the account yet",NA,65
"3256","Edson Tarram",NA,1,NA,2019-05-06,NA,TRUE,"Not complaint","Hi, At moment I haven'nt complaint.",NA,35
"3257","Pavel Draganuta",NA,1,NA,2019-05-06,2019-05-09,TRUE,"Excellent product!","Very smooth transitioning to an excellent payment option!","Wonderful to have your feedback! Thank you, Pavel!",57
"3258","customer",NA,1,NA,2019-05-06,2019-05-09,TRUE,"So far so good","So far so good","Thank you!",14
"3259","Austra Norkute",NA,2,NA,2019-05-06,2019-05-09,TRUE,"Good services for monese card we are happy use","We are happy use monese card when you are use card come msg that's good and save","Thank you very much for your trust, Austra!",80
"3260","Eugenijus",NA,2,NA,2019-05-06,2019-05-09,TRUE,"Super","5 stars, super!","Cheers, Eugenijus! Thank you!",15
"3261","customer",NA,2,NA,2019-05-06,2019-05-09,TRUE,"Easy and quick","Easy and quick","Thanks, glad you like our services!",14
"3262","Ian Brown",NA,3,NA,2019-05-06,2019-05-09,TRUE,"Painless and fast ... what more do you need?","Application was done online through their app. Was approved and active almost instantly. Ordered a card which arrived in two days. Everything just works as expected. Anyone who is new to the UK should get a Monese card rather than trying to jump through hoops to open a bank account with other institutions.","Thank you for your support, Ian!",307
"3263","customer",NA,1,NA,2019-05-06,NA,TRUE,"Lo recomiendo","Lo recomiendo",NA,13
"3264","customer",NA,1,NA,2019-05-06,2019-05-09,TRUE,"Good service 💪🏻","Good service 💪🏻","Thanks, we promise to keep up the good work!",15
"3265","Marko Dabanovic",NA,2,NA,2019-05-06,2019-05-09,TRUE,"Perfect service","Perfect service. Very quick delivery","Thank you, Marko! We believe that banking should be as easy as possible - glad you like it :D",36
"3266","Ewemade",NA,2,NA,2019-05-06,2019-07-09,TRUE,"Nice,and did exactly what they said…","Nice,and did exactly what they said they do,but my suggestion is if possible the daily limit of the instant recharge can be increased at the maximum of 1000 euros,that will make the service the best and outstanding","Hi Ewemade,Thank you for your feedback!We are glad to share an update that could be interesting for you: we have recently launched our new pricing plans. Feel free to have a look here: https://monese.com/pricing.Kind regards,Your Monese team",214
"3267","customer",NA,1,NA,2019-05-06,2019-05-09,TRUE,"A good chanche to opening an account.","A good chance to opening an account in other country.","Thank you for your support and trust!",53
"3268","Benja",NA,1,NA,2019-05-06,NA,TRUE,"Todo genial","Todo genial, menos la comisión cuando ingresas a través de una tarjeta",NA,70
"3269","Paela Argus","https://user-images.trustpilot.com/5ccfafa977678da31b72b9e6/73x73.png",1,NA,2019-05-06,NA,FALSE,"un peut lent à virer de l'argent si la…","un peut lent à virer de l'argent si la somme est importante ... vos concurrent dans grande Bretagne font plus rapide pour moins cher attention vos services ce dégrade de jour en jour dommage",NA,190
"3270","Andrej",NA,1,NA,2019-05-05,2019-05-07,TRUE,"Excellent","Excellent, I have received debit card quite fast.","Glad to hear it, Andrej! Enjoy your Monese card!",49
"3271","Ebenezer",NA,1,NA,2019-05-05,2019-05-07,TRUE,"No frills bank account with a…","No frills bank account with a contactless MasterCard. Been using Monese for more than a year and I don't miss using traditional brick and mortar sort of bank. Their app is all you need to operate your bank account and manage your card. Very rarely would you need to actually get support for any issues and if you do need support, its right there in the app.","Thank you very much for your review, Ebenezer! Happy you appreciate our app!",357
"3272","Hristo Uzunov",NA,1,NA,2019-05-05,2019-05-07,TRUE,"..the best..","... amazing app... amazing card... I'm   double happy....","Hi Hristo - happy that you're double happy! That's awesome! Thanks for the review :-)",57
"3273","Teodor stroe",NA,1,NA,2019-05-05,2019-05-07,TRUE,"Very very good","Very very good","That's great, then! Thanks Teodor!",14
"3274","Michael Krauss",NA,1,NA,2019-05-05,NA,FALSE,"unseriöses Veralten der Bank bei Uberweisungen","Seit einem Jahr bin ich Kunde bei Monese. Nie gab es Fragen über eingehende Zahlungen (zwischen 50 und 150€) und Zahlungsausgänge. Immer als nachvollziehbare Überweisung, keine Bareinzahlungen oder Abhebungen. Plötzlich hält man ausgehende Uberweisungen zurück und fängt an Fragen zu stellen. Was hat mein Beruf mit der Überweisung zu tun. Auf Reklamation keine Antwort und Reaktion. Das stellt ein Verstoß gegen Ihre AGB´s,  Punkt 6, dar,. Keine Akzeptanz des Kontos bei wichtigen Zahlungsdienstleistern wie Paypal.",NA,516
"3275","Posea Silviu",NA,1,NA,2019-05-05,2019-05-07,TRUE,"I recomand","I recomand this company","Thank you very much for your recommendation, Posea!",23
"3276","customer",NA,1,NA,2019-05-05,2019-05-07,TRUE,"5*****","5***** best!","Amazing! Thanks so much for the 5 stars!!",12
"3277","customer",NA,1,NA,2019-05-05,2019-05-07,TRUE,"C'est juste parfait","C'est juste parfait","On est ravi de vous l'entendre dire ! Merci beaucoup, c'est super d'avoir des retours comme les vôtres :-)",19
"3278","J MOURA-GEORGE",NA,1,NA,2019-05-05,2019-05-07,TRUE,"UP TO NOW,ALL LOOKS EXCELLENT.LET ME…","UP TO NOW,ALL LOOKS EXCELLENT.LET ME USE THE SERVICES AND LATER I WILL MAKE MORE POSITIVE COMMENTS.","That's a great start, then! ;-) And we're looking forward to receiving more positive comments in the future !! Thank you !!",99
"3279","customer",NA,1,NA,2019-05-05,2019-05-07,TRUE,"Fantastic","Fantastic,so simple,so easy and very usefull for all!!!","Simple and easy to use! This is what we want to hear from our customers! Thanks a lot !!",55
"3280","customer",NA,1,NA,2019-05-05,2019-05-07,TRUE,"Nice!","Good one! I like this app. Love to recommend it to other people.","Happy you like it!",64
"3281","Rick",NA,1,NA,2019-05-05,2019-05-07,TRUE,"Simply perfect","Simply perfect","That's simply awesome, then! Thanks so much, Rick!",14
"3282","customer",NA,1,NA,2019-05-05,2019-05-07,TRUE,"Good bank","Good bank card delivred to my house on under 7days.","Thank you for your feedback!",51
"3283","customer",NA,1,NA,2019-05-05,2019-05-07,TRUE,"I'm really surprised of monese and i…","I'm really surprised of monese and i like it.","Happy you had a good surprise! :-)",45
"3284","Mike Cris",NA,1,NA,2019-05-05,2019-05-07,TRUE,"Good service that work smooth and…","Good service that work smooth and simple.","Glad to hear it, Mike! Thanks for the review!",41
"3285","customer",NA,1,NA,2019-05-05,2019-05-07,TRUE,"I appreciate the effort you put in this…","I appreciate the effort you put in this system and I highly recommend your banking alternative system to anybody who is fed up with elaborate, unnecessary and in some cases discriminating banking procedures. this is a fair, fast and efficient system you can rely.","Thank you so much for your support! And also for your recommendation! We really appreciate it :-)",263
"3286","Oana Amariei",NA,1,NA,2019-05-05,2019-05-07,TRUE,"I am very happy that I choose monese","I am very happy that I choose monese. Every time when I got a question and email them I got a very good answer and explanation.","And we're happy to have you on-board Oana! We will pass this on to our support team!",127
"3287","Mitaka Diamond Standart",NA,1,NA,2019-05-04,2019-05-06,TRUE,"Verry Nice App for Banking and More i Like it","Every body Download this app for your telephone and banking be in your hand's verry easy and fast working around of World","Hi Mitaka! Many thanks for your review! and welcome on board!",121
"3288","customer",NA,1,NA,2019-05-04,2019-05-06,TRUE,"The three's asking for a greener world","The three's asking for a greener world, so Bitcoin can replace the paper money.","Thank you for your review!",79
"3289","Rahem rezkeddine",NA,6,NA,2019-05-04,2019-05-06,TRUE,"Original","Original , better than N26 and Rovolut","Thank you for your support!",38
"3290","customer",NA,1,NA,2019-05-04,2019-08-31,TRUE,"I don't receive the money bonus after…","I don't receive the money bonus after last transaction","Hello there,Sorry to hear you were disappointed. Please be advised that it can take several days for the bonus to be added to your account. We are happy to see you received your bonus without issues in the end. Apologies for the inconvenience!Sincerely,The Monese Team",54
"3291","customer",NA,1,NA,2019-05-04,NA,TRUE,"Molto bene arrivato la carta con…","Molto bene arrivato la carta con anticipo,",NA,42
"3292","Matti Pasanen",NA,5,NA,2019-05-04,NA,TRUE,"Xxxxxxxxcccc","Xxxxxxxxcccc",NA,12
"3293","customer Geanina Elena",NA,1,NA,2019-05-04,NA,TRUE,"Monese prima dat a facut","Monese prima dat a facut. Cont vreau sa fac bani",NA,48
"3294","customer",NA,1,NA,2019-05-04,2019-05-06,TRUE,"Excellent service so far","Excellent service so far","We're glad to know that! Many thanks for your review!",24
"3295","customer",NA,1,NA,2019-05-04,NA,TRUE,"Not so fast","I sent money to my monese account last thursday and i didnt see the money un my account. Its taking a lot of time, which i consider a negative fact. I havent use monese yet.",NA,173
"3296","ARASH SAYYAD ESHGH DOUST",NA,2,NA,2019-05-04,2019-05-06,TRUE,"Very happy","Very happy , very easy to used , love it","Hi Arash - Thank you so much, we really appreciate it!",40
"3297","Juri Münch",NA,2,NA,2019-05-04,2019-05-06,TRUE,"Super banking","Super banking","Hi Juri - Thanks a lot for your support!",13
"3298","customer",NA,1,NA,2019-05-04,2019-05-06,TRUE,"The best service loved it","The best service loved it","We're glad to know that! Thank you so much!",25
"3299","customer",NA,1,NA,2019-05-04,NA,TRUE,"Hallo die Verarbeitung könnte…","Hallo die Verarbeitung könnte verbessert werden es dauert einfach viel zulange",NA,78
"3300","Jamshaid, Germany",NA,1,NA,2019-05-04,2019-05-06,TRUE,"Monese Account","Great fast Service, Open Account in few minutes and affordable Fee. Suggest and recommend for everyone who has still no Monese Bank account. Thanks to Monese 😊","We're glad to know that - thank you very much for your support!",159
"3301","customer",NA,1,NA,2019-05-03,2019-05-06,TRUE,"Excellent service","Excellent service","Thank you for your support!",17
"3302","customer",NA,1,NA,2019-05-03,2019-05-06,TRUE,"Fast and easy way to create an account","Fast and easy way to create an account. Delivery was very quick.","We're glad to know that, many thanks!",64
"3303","Venislava Lozanova",NA,5,NA,2019-05-03,2019-05-06,TRUE,"I was surprised by the effort the staff…","I was surprised by the effort the staff put, just to fix the issue I had with Google Pay. Customer service is great!","Hi - we're glad to know we could help! Thanks for your review!",116
"3304","customer",NA,1,NA,2019-05-03,2019-05-06,TRUE,"Excellent","Excellent - easy online registration with Safety measures included and fast delivery of Card. Smoothless integration with Apple & Apple pay","Thanks a lot for sharing your experience! We really appreciate it!",139
"3305","Satisfied Customer",NA,1,NA,2019-05-03,2019-05-06,TRUE,"Quick","Quick, easy and hassle free!","We're glad to know that, thank you very much!",28
"3306","customer",NA,1,NA,2019-05-03,2019-05-06,TRUE,"Good company","Good company","Thanks for your review!",12
"3307","Bhavik Mer",NA,1,NA,2019-05-03,2019-05-06,TRUE,"Very quick delivery of card and…","Very quick delivery of card and currency exchange the only trouble is cannot use contact less payment on this card using Google pay app","Hi Bhavik - thank you for your review, we're glad to know that! Regarding Google Pay, it's available for UK customers for the moment. If you need any help, please contact our Customer Support Team!",135
"3308","Honest Customer",NA,1,NA,2019-05-03,2019-05-06,TRUE,"Really easy to set up my account","Really easy to set up my account. All my rental expanses go there and it works really well!!","We're glad to know that! Thanks for sharing your experience, it's much appreciated!",92
"3309","Sara",NA,1,NA,2019-05-03,NA,TRUE,"Ottimo servizio!","Ottimo! La carta è arrivata in pochissimi giorni, prima del previsto nonostante ci fossero in mezzo dei giorni festivi!La app è molto ben fatta.",NA,144
"3310","Florina",NA,1,NA,2019-05-03,2019-05-06,TRUE,"Fast","Fast . Good . Efficient. Thank you .","Hi Florina - thank you! Your feedback is much appreciated!",36
"3311","abo amin","https://user-images.trustpilot.com/59485b400000ff000aa5a88d/73x73.png",3,NA,2019-05-03,2019-05-06,TRUE,"Thank you","Thank you Thanks to all the staff","Thank you, we really appreciate it!",33
"3312","Toni",NA,1,NA,2019-05-03,2019-05-06,TRUE,"I love it!","Simply the best!","Hi Toni - Thank you very much!",16
"3313","Gabriel Gil-Yanez",NA,1,NA,2019-05-03,2019-05-06,TRUE,"Good but can be better","Need to improve and provide more option on the app.  It is too basic","Hi Gabriel - thanks for your feedback. We'll pass it along to the team!",68
"3314","Sergio",NA,3,NA,2019-05-03,2019-05-06,TRUE,"Happy with Monese","Hi to all you my Friends, i m happy soo much with my Carte Monese , fantastic wonderful Monese. Thankyou very much, i m happy with 💖 Monese 💖","Hi Sergio - we're glad to know that! Thank you for your review, it's good to have you on board!",141
"3315","customer",NA,1,NA,2019-05-03,2019-05-06,TRUE,"It's a brilliant easy to install and…","It's a brilliant easy to install and use mobile banking alternative!","We're glad to know that, thanks!",68
"3316","customer",NA,1,NA,2019-05-03,2019-05-06,TRUE,"Great app","Great app. 100% would recomend","Your feedback is much appreciated, thank you!",30
"3317","Maier",NA,1,NA,2019-05-03,NA,TRUE,"Super","Super  super ..........super",NA,28
"3318","Zbigniew",NA,1,NA,2019-05-03,2019-05-09,TRUE,"Jestem bardzo zadowolony","Jestem bardzo zadowolony","Dziękujemy, Zbigniew! Bardzo miło nam to słyszeć!",24
"3319","customer",NA,1,NA,2019-05-03,2019-05-06,TRUE,"For me time is money and Monese is a…","For me time is money and Monese is a good way to save both your time and money. Thank you Monese","Thank you for your review!",96
"3320","customer",NA,1,NA,2019-05-03,2019-05-06,TRUE,"Perfect","Perfect very good","We're glad to know that! Thanks!",17
"3321","customer",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Good","Good very good","So good to know that! Many thanks!",14
"3322","Albi",NA,1,NA,2019-05-02,NA,FALSE,"Un app che funziona molto bene","Un app che funziona molto bene, non ha nulla da invidiare ad altri che offrono lo stesso servizio. Se usate il codice ALBIN642 avrete un ulteriore bonus di 10€ dopo la prima ricarica.",NA,183
"3323","customer",NA,1,NA,2019-05-02,2019-05-06,TRUE,"It's very good","It's very good","Thank you very much!",14
"3324","Leandro",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Good Bank","Good Bank Nice aaBank","Hi Leandro - many thanks for your review!",21
"3325","Tatiana",NA,1,NA,2019-05-02,2019-05-06,TRUE,"I liked that all was done fast","I liked that all was done fast, and I could enjoy the benefits by using a card. Thank you","Hi Tatiana - thank you very much!",89
"3326","Kevin",NA,1,NA,2019-05-02,2019-05-06,TRUE,"The app is pretty simple and easy to…","The app is pretty simple and easy to use, the credit card arrived fast and they have different languages supported, which is awesome.","Hi Kevin - thank you, your feedback is much appreciated! We're glad to know you're having a good experience with your Monese account!",133
"3327","Volker Wirths","https://user-images.trustpilot.com/5ccb054ea0f4baded2f59017/73x73.png",1,NA,2019-05-02,2019-05-10,TRUE,"Läuft alles nach Plan","Läuft alles nach Plan","Klasse, das freut uns. Danke für Deine Rückmeldung, Volker!",21
"3328","ANGEL PEREZ",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Easy to start","Easy to start, that card is arrive very fast, by the moment all right ...perfect","Hi Angel - thanks a lot for your review!",80
"3329","Erich",NA,1,NA,2019-05-02,2019-05-10,TRUE,"Finde echt super und nett auf der Mail…","Finde echt super und nett auf der Mail beschriebeb",":-) Danke für Deine Bewertung. Toll, Dich mit an Bord zu haben, Erich!",50
"3330","Gil",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Não conhecia o Monese mas fiquei muito…","Não conhecia o Monese mas fiquei muito satisfeito com tudo, desde o cadastro no aplicativo, a agilidade na entrega do card físico, a facilidade no pagamento em qualquer local que vou, em várias cidades da Europa. Satisfação total...inclusive já estou indicando para amigos.","Olá, Gil! Muito bom saber disso! Obrigada por compartilhar sua experiência positiva por aqui. Agradecemos sua avaliação!",273
"3331","Sandra",NA,1,NA,2019-05-02,NA,TRUE,"Muy buen servicio","Muy buen servicio",NA,17
"3332","Hauke",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Very Good !!!","Very Good !!!","Hi Hauke! Thank you very much!",13
"3333","Marco",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Very simple","Simple, quick and no aborred, fantastic","Hi Marco - thanks a lot! We're glad to know that!",39
"3334","Ivano de Branco Lima","https://user-images.trustpilot.com/5ccadc0e85a540b8a5a11175/73x73.png",3,NA,2019-05-02,2019-05-06,TRUE,"Ótimo atendimento","Ótimo atendimento, transações rápidas e serviço de confiança.Ótimo atendimento, transações rápidas e serviço de confiança.","Olá, Ivano! Agradecemos sua avaliação positiva!",122
"3335","Dario",NA,1,NA,2019-05-02,2019-08-31,TRUE,"Bene ma non benissimo","Ho aperto il conto ho seguito tutte le istruzioni ma non ho mai ricevuto il bonus adesso la sto usando vedremo se ci sono ulteriori problemi","Salve Dario,siamo molto dispiaciuti per questo. Per ricevere il suo bonus deve inserire un codice invito quando si iscrive ed effettuare una transazione con carta a buon fine. Se vuole che ci occupiamo del problema, contatti il nostro team di assistenza clienti direttamente tramite email o tramite l'opzione di chat in-app, un membro del nostro team potrà indagare su cosa sia successo.Ci scusiamo per l'inconveniente.Cordiali saluti,Il team Monese",140
"3336","Frank",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Apple Pay works perfect","Apple Pay works perfect, I received the card for free and € 10,00 Welcome Bonus. I wonder if I overlook something because it is too good to be true.","Hi Frank - thanks for your review!",148
"3337","Hedi",NA,2,NA,2019-05-02,2019-05-06,TRUE,"Easy to use & reliable!","Super easy sign up process, fast card delivery, simple to use app and most importantly trustworthy service!","Hi Hedi - thanks! We're really glad to know that!",107
"3338","customer",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Everything very fast.","Everything very fast.","Thank you very much!",21
"3339","Wojciech Lotecki","https://user-images.trustpilot.com/5ccac10ce003231b4c8005dd/73x73.png",1,NA,2019-05-02,2019-05-06,FALSE,"Excellent service","Excellent service! Fast card delivery, easy to use app. Monese is widely recognized and provide trustworthy financial services.","Your feedback is much appreciated. Thank you for your review and for your support!",127
"3340","Alex",NA,1,NA,2019-05-02,NA,TRUE,"Finora ottimo","Finora ottimo",NA,13
"3341","Andrzej",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Monese Mastercard","I received Monese Mastercard with trouble. Why? Because people from Monese bad wrote my town for envelope. Carelessness and lack of check!","Hi Andrzej - sorry for any confusion. If you need any help, please contact our Customer Suppor Team! And thank you for your review!",138
"3342","kingsley",NA,1,NA,2019-05-02,2019-05-06,TRUE,"very cool with how the manage account…","very cool with how the manage account using the app is very effective.","We're glad to know that! Many thanks!",70
"3343","Patrick",NA,1,NA,2019-05-02,NA,TRUE,"servizio perfetto","servizio perfetto, all'avanguardia",NA,34
"3344","customer",NA,1,NA,2019-05-02,NA,TRUE,"Mersi de card va urez sa aveți o zi buna","Mersi de card va urez sa aveți o zi buna",NA,40
"3345","Stan",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Excellent app","Excellent app! Account and card arę tottaly free. Use code: STANI490 to get card for free and get £10/€10 for first card transaction!","Thank you for your review, Stan!",133
"3346","Luigi",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Beautifull!!!","Beautifull!!!","Hi Luigi - Thank you very much!",13
"3347","customer",NA,1,NA,2019-05-02,NA,TRUE,"Pas grand chose a dire","Pas grand chose a dire. Je viens juste de recevoir la carte et de l'activer. Avoir dans le temps.",NA,97
"3348","Marko Maslać",NA,1,NA,2019-05-02,NA,TRUE,"Monese je odlican","Lako za koristenje.",NA,19
"3349","Lablanche",NA,2,NA,2019-05-02,2019-05-06,TRUE,"I got my card very quickly and am very…","I got my card very quickly and am very happy now I start to save money","We're glad to know that! Many thanks for your review!",70
"3350","customer",NA,1,NA,2019-05-02,NA,TRUE,"Нельзя добавить счёт фирмы не из JK","Нельзя добавить счёт фирмы не из JK",NA,35
"3351","customer",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Yes i recommend this company to anyone","Yes i recommend this company to anyone","We really appreciate it, thank you very much!",38
"3352","customer",NA,1,NA,2019-05-02,NA,TRUE,"Bien","Bien  rien à dire",NA,17
"3353","OLEKSANDR KOVALENKO",NA,2,NA,2019-05-02,NA,TRUE,"Хорошая реферальная система","Хорошая реферальная система, + в том что можно расплачиваться повисшей Европе",NA,77
"3354","customer",NA,1,NA,2019-05-02,2019-05-06,TRUE,"Hello your Service and App is…","Hello your Service and App is great....👍👍good i am so happy..","We're glad to know that! Thank you for your review!",61
"3355","customer",NA,1,NA,2019-05-02,NA,TRUE,"Un applicazione semplice","Monese è un applicazione semplice ed intuibile",NA,46
"3356","Ruslan",NA,2,NA,2019-05-01,2019-05-03,TRUE,"super easy and trustfull bank!","super easy and trustfull bank!","Hi Ruslan - we're happy to hear that! 🤩Many thanks for your review and your feedback!",30
"3357","customer",NA,1,NA,2019-05-01,NA,TRUE,"I most be paid the abonament of mobile…","I most be paid the abonament of mobile telefon, but it was necessary too long time for do it",NA,92
"3358","Nikolaj Simanskij",NA,2,NA,2019-05-01,2019-05-03,TRUE,"Great service","Great service. i have no problems with recieving or sending money. Thank you!","Thank you Nikolaj 🤩- we're happy to hear that, and we appreciate your feedback and your review!",77
"3359","Laurynas Veščiūnas",NA,6,NA,2019-05-01,2019-05-03,TRUE,"Their referral system is very useful","Their referral system is very useful. Earned a lot of money!","Hi Laurynas - we're happy that you are enjoying Monese and you're recommending us to your friends too! 🙂",60
"3360","customer",NA,1,NA,2019-05-01,2019-05-03,TRUE,"Excellent bank","Excellent bank","Thank you so much for your review! We highly appreciated it!",14
"3361","B. Hoke",NA,1,NA,2019-05-01,2019-05-06,TRUE,"So far so good","So far, so good.Quick exchanges between Home Bank Account and Monese Account by SEPA. Fast Informations about any Transfers and a good looking Mobile App with all needed Functions. For me the biggest negativ Point...No Exchanges to Cryptocurrencies are allowed. Thats isn't contemporary.","Hi B. 👋 we want to thank you for your review and for your feedback - it is important to us and we will pass it to our product team!",287
"3362","customer",NA,1,NA,2019-05-01,2019-05-03,TRUE,"Good good good","Good good good","We're happy happy happy to hear that! 🤩Thank you for your review and your feedback!",14
"3363","james",NA,2,NA,2019-05-01,2019-07-09,TRUE,"Fast verification process without need…","Fast verification process without need to go to branch. Reward came promptly after first use of card. Card could have better features (free ATM withdrawals, 0% FX, etc)","Hi James,Thank you for your review and your feedback! We are glad to share an update that could be interesting for you: we have recently launched our new pricing plans. Feel free to have a look here: https://monese.com/pricing.Kind regards,Your Monese team",168
"3364","Ap",NA,1,NA,2019-05-01,2019-05-03,TRUE,"Perfect and very cast card delivery","Perfect and very cast card delivery","Hi Ap - we're delighted with your review 😍! Thank you for letting us know!",35
"3365","Armando",NA,1,NA,2019-05-01,2019-05-06,TRUE,"Rápido e eficaz","Rápido e eficaz, iremos ver daqui para a frente","Olá, Armando! Nós esperamos que você continue tendo uma boa experiência com a sua da Monese. Não se esqueça que se precisar de qualquer ajuda, nosso time de suporte pode te ajudar em Português! Obrigada pela sua avaliação!",47
"3366","Gabriel",NA,1,NA,2019-05-01,2019-05-03,TRUE,"Hello !","Hello !My name is Gabriel, I recently open a account with Monese app and everyting, from the inteview to support when I had questions they answer quick, in proffesional manner. The app and online system is great, and I received a debit card for free. Excellent !!","Hi Gabriel - we're delighted to hear it 🤩! Be sure that we will pass your feedback along with the team! Thank you for your review!",263
"3367","customer",NA,1,NA,2019-05-01,2019-05-03,TRUE,"Im Very happy with it","Im Very happy with it","If you're happy, we're happy! Thank you for your review! 🙌",21
"3368","Thomas",NA,5,NA,2019-05-01,2019-05-03,TRUE,"Simple","Simple, easy to use app, sometimes slightly hidden functionality, how to pay for example","Hi Thomas - we want to thank you for your review and your feedback. Regarding the pay button, we think you have found it by now - is right in the middle of the menu (the arrows between Card and Earn). 🙂",88
"3369","Hadi",NA,1,NA,2019-05-01,2019-05-03,TRUE,"Very nice and very easy and very good","Very nice and very easy and very good","Hi Hadi - we're happy to hear that! Very kind from your part! 🙂Thank you for your review!",37
"3370","Gabriele",NA,1,NA,2019-05-01,2019-05-03,TRUE,"Best services at cheap prices.","Best services at cheap prices.For now, excellent.","Hi Gabriele - 🤩and we're still developing new features! Stay tuned and let yourself surprised! Many thanks for your review and your feedback!",49
"3371","customer",NA,1,NA,2019-05-01,2019-05-03,TRUE,"Service is great","Service is great","Hi there - we're happy to hear that! Thanks for your review! 🙂",16
"3372","Simpele EU-gebruiker",NA,1,NA,2019-05-01,NA,TRUE,"Geen Vlaamse taalondersteuning en duurzaamheid in EU","Er is geen standaard Vlaamse taalinstelling en -ondersteuning.Tweede is wat zal Monese doen wanneer Brexit realiteit wordt in EU.",NA,129
"3373","Krefa wajdi",NA,1,NA,2019-05-01,NA,TRUE,"Je suis très satisfait","Je suis très satisfait",NA,22
"3374","customer",NA,1,NA,2019-05-01,2019-05-10,TRUE,"Was ich nicht mochte ist dass man nicht…","Was ich nicht mochte ist dass man nicht mehr als 350 Bargeld abheben!Alles anders ist perfekt","Hallo und besten Dank für Deine Rückmeldung! Wir schätzen jedes Feedback und arbeiten kontinuierlich daran, unseren Service auszuweiten und zu optimieren.",93
"3375","K Mason",NA,2,NA,2019-05-01,2019-05-02,TRUE,"Very simple to apply","Very simple to apply, I received professional and prompt response from Monese.I was especially impressed with the speed and efficiency of the cards arriving in the post. Very good.","Really glad to hear that, thanks! And welcome on board, hope you'll enjoy the card!",180
"3376","Steffi",NA,1,NA,2019-05-01,2019-05-10,TRUE,"Alles super","Alles schnell und ohne Komplikationen verlaufen","Hallo Steffi, wir finden, Banking sollte heutzutage unkompliziert sein und  sich ganz um den Kunden drehen. Danke für Dein Feedback!",47
"3377","Tim",NA,1,NA,2019-05-01,2019-07-09,FALSE,"Wonderful app","Wonderful app, great customer service. I’m living outside UK and using Monese without any problems. And I’m traveling a lot. I will definitely recommend you. (I promise) But i have to admit how 600 EUR top-up limit isn’t a good move from your side. Please try to change that. At least 3000 or 5000 EUR would be ok. And one more thing .. EU cards doesn’t support Google Pay, I believe how you can do something about that. Love u Monese ❤️ xoxo Tim.","Hi Tim,Thank you so much for your review and feedback!We are glad to share an update that could be interesting for you: we have recently launched our new pricing plans. Feel free to have a look here: https://monese.com/pricing.Kind regards,Your Monese team",447
"3378","Ariful Haque",NA,2,NA,2019-05-01,2019-07-09,TRUE,"Waiting for free of cost fees, charges & services","Smooth service but if you want 5* then you have to provide below mentioned benefits:1) Free card delivery (I had to pay €5 where competitors are giving free of cost)2) ATM Withdrawal fees (I have to pay €1 where competitors are giving free of cost3) Online Shopping or Payment or Top Up (I had to pay 0.35% where competitors are giving free of cost)","Hi Ariful, Thank you for your feedback!We are glad to share an update that could be interesting for you: we have recently launched our new pricing plans. Feel free to have a look here: https://monese.com/pricing.Kind regards,Your Monese team",349
"3379","customer",NA,1,NA,2019-04-30,2019-05-02,TRUE,"Well done","Well done guys! Simple and easy process!","Thanks a lot for saying this!",40
"3380","Adrea",NA,1,NA,2019-04-30,2019-05-02,TRUE,"Very nice and helpful app","Helpful app, you can manage you card very easy, easy payments, love the physics card.","Thanks, Andrea, we appreciate your review and we're really glad to hear we were able to help you out!",85
